FIPS_O,FIPS_D,Week,Pop_flows
48,1,8,157305.0
49,1,8,7048.0
50,1,8,924.0
51,1,8,44911.0
53,1,8,11168.0
54,1,8,9143.0
55,1,8,28433.0
56,1,8,2236.0
2,1,9,4375.0
4,1,9,17623.0
5,1,9,53586.0
6,1,9,53939.0
8,1,9,15931.0
9,1,9,2315.0
10,1,9,3786.0
11,1,9,2786.0
12,1,9,765664.0
13,1,9,928535.0
15,1,9,1457.0
16,1,9,2078.0
17,1,9,77869.0
18,1,9,40365.0
19,1,9,11070.0
20,1,9,12859.0
21,1,9,64995.0
22,1,9,207473.0
23,1,9,3204.0
24,1,9,15874.0
25,1,9,4905.0
26,1,9,52163.0
27,1,9,19959.0
28,1,9,597348.0
29,1,9,40075.0
30,1,9,3517.0
31,1,9,4560.0
32,1,9,5593.0
33,1,9,1215.0
34,1,9,11026.0
35,1,9,2928.0
36,1,9,23895.0
37,1,9,78050.0
38,1,9,993.0
39,1,9,41603.0
40,1,9,13886.0
41,1,9,4481.0
42,1,9,29059.0
44,1,9,495.0
45,1,9,51763.0
46,1,9,1905.0
47,1,9,618739.0
48,1,9,185584.0
49,1,9,5206.0
50,1,9,157.0
51,1,9,39479.0
53,1,9,7441.0
54,1,9,8904.0
55,1,9,30453.0
56,1,9,2298.0
2,1,10,4616.0
4,1,10,20868.0
5,1,10,46570.0
6,1,10,69097.0
8,1,10,25299.0
9,1,10,4512.0
10,1,10,3025.0
11,1,10,492.0
12,1,10,848471.0
13,1,10,1037707.0
15,1,10,1960.0
16,1,10,2052.0
17,1,10,111034.0
18,1,10,70680.0
19,1,10,62161.0
20,1,10,42068.0
21,1,10,77506.0
22,1,10,227923.0
23,1,10,1797.0
24,1,10,20144.0
25,1,10,7093.0
26,1,10,53112.0
27,1,10,31566.0
28,1,10,949395.0
29,1,10,91971.0
30,1,10,8310.0
31,1,10,8108.0
32,1,10,6033.0
33,1,10,1420.0
34,1,10,17957.0
35,1,10,5755.0
36,1,10,30716.0
37,1,10,82928.0
38,1,10,1474.0
39,1,10,54958.0
40,1,10,65691.0
41,1,10,2885.0
42,1,10,26612.0
44,1,10,801.0
45,1,10,63067.0
46,1,10,4096.0
47,1,10,910305.0
48,1,10,387221.0
49,1,10,5118.0
50,1,10,155.0
51,1,10,47702.0
53,1,10,8903.0
54,1,10,10840.0
55,1,10,47457.0
56,1,10,1455.0
2,1,11,5644.0
4,1,11,20747.0
5,1,11,160769.0
6,1,11,76709.0
8,1,11,39657.0
9,1,11,7592.0
10,1,11,3083.0
11,1,11,4823.0
12,1,11,1125838.0
13,1,11,1021572.0
15,1,11,2799.0
16,1,11,2591.0
17,1,11,163130.0
18,1,11,268607.0
19,1,11,145892.0
20,1,11,77606.0
21,1,11,84228.0
22,1,11,211482.0
23,1,11,1990.0
24,1,11,22802.0
25,1,11,7885.0
26,1,11,59124.0
27,1,11,29418.0
28,1,11,1191209.0
29,1,11,196306.0
30,1,11,4339.0
31,1,11,10249.0
32,1,11,6671.0
33,1,11,990.0
34,1,11,17362.0
35,1,11,5543.0
36,1,11,27679.0
37,1,11,84592.0
38,1,11,3262.0
39,1,11,75171.0
40,1,11,138356.0
41,1,11,7232.0
42,1,11,33231.0
44,1,11,1904.0
45,1,11,65351.0
46,1,11,3136.0
47,1,11,1155733.0
48,1,11,507832.0
49,1,11,5125.0
50,1,11,1258.0
51,1,11,54091.0
53,1,11,8577.0
54,1,11,10311.0
55,1,11,93707.0
56,1,11,1635.0
2,1,12,8652.0
4,1,12,17253.0
5,1,12,323882.0
6,1,12,78369.0
8,1,12,36517.0
9,1,12,5814.0
10,1,12,1749.0
11,1,12,3947.0
12,1,12,849797.0
13,1,12,951067.0
15,1,12,2745.0
16,1,12,5373.0
17,1,12,315048.0
18,1,12,462555.0
19,1,12,13848.0
20,1,12,17220.0
21,1,12,180091.0
22,1,12,199933.0
23,1,12,4455.0
24,1,12,19433.0
25,1,12,7111.0
26,1,12,274617.0
27,1,12,34674.0
28,1,12,577893.0
29,1,12,152793.0
30,1,12,3361.0
31,1,12,4802.0
32,1,12,5657.0
33,1,12,1779.0
34,1,12,16602.0
35,1,12,8701.0
36,1,12,34595.0
37,1,12,80887.0
38,1,12,3862.0
39,1,12,165585.0
40,1,12,27478.0
41,1,12,8466.0
42,1,12,35200.0
44,1,12,484.0
45,1,12,48618.0
46,1,12,3061.0
47,1,12,750674.0
48,1,12,165691.0
49,1,12,6726.0
50,1,12,535.0
51,1,12,53148.0
53,1,12,9363.0
54,1,12,13782.0
55,1,12,257682.0
56,1,12,2412.0
2,1,13,11531.0
4,1,13,16755.0
5,1,13,46399.0
6,1,13,98295.0
8,1,13,26941.0
9,1,13,8176.0
10,1,13,2592.0
11,1,13,6438.0
12,1,13,823462.0
13,1,13,1288779.0
15,1,13,2385.0
16,1,13,2824.0
17,1,13,351819.0
18,1,13,343052.0
19,1,13,20446.0
20,1,13,15823.0
21,1,13,296169.0
22,1,13,316164.0
23,1,13,2118.0
24,1,13,31960.0
25,1,13,5375.0
26,1,13,639061.0
27,1,13,43974.0
28,1,13,700135.0
29,1,13,135148.0
30,1,13,2195.0
31,1,13,6058.0
32,1,13,11580.0
33,1,13,1873.0
34,1,13,25223.0
35,1,13,11086.0
36,1,13,58495.0
37,1,13,131739.0
38,1,13,1516.0
39,1,13,230469.0
40,1,13,19489.0
41,1,13,5069.0
42,1,13,41232.0
44,1,13,504.0
45,1,13,83447.0
46,1,13,2489.0
47,1,13,894104.0
