FIPS,Week,Confirmed,Deaths,Incident_Rate,New_Cases,New_Deaths,Susceptible
6,11,25824757,391637,9341.408823579188,147469,8665,15786.59095058178
6,12,25961961,401088,9391.06615185888,137204,9451,14610.055746741988
6,13,26095959,408836,9439.577361017771,133998,7748,14195.338930465887
6,14,26233264,413844,9489.256020852075,137305,5008,14469.522130953199
6,15,26389534,418307,9545.777047992757,156270,4463,16370.589760721445
6,16,26504923,421802,9587.548570548845,115389,3495,12035.297568604077
6,17,26600953,424797,9622.30345784392,96030,2995,9979.938839043592
6,18,26694298,428215,9656.072393453684,93345,3418,9666.973920295282
6,19,26779614,430308,9686.944214705409,85316,2093,8807.31819127076
6,20,26848614,431912,9711.912257053791,69000,1604,7104.677037200897
6,21,26922779,433854,9738.74482189618,74165,1942,7615.457777808344
6,22,26987808,435794,9762.27244198044,65029,1940,6661.256422260612
6,23,27037957,438238,9780.42487185367,50149,2444,5127.486858400185
6,24,27084841,438513,9797.37152656353,46884,275,4785.365122970361
6,25,27142213,440036,9818.11664420183,57372,1523,5843.483234015305
6,26,27190052,441828,9835.425212236583,47839,1792,4863.94832635013
6,27,27259497,443318,9860.551614261598,69445,1490,7042.709446351836
6,28,27420560,445036,9918.835206296251,161063,1718,16238.096172599064
6,29,27686893,446148,10015.170676245098,266333,1112,26592.956686371115
6,30,28078325,447434,10156.70554111102,391432,1286,38539.268310537445
6,31,28622132,449625,10353.285217227953,543807,2191,52525.067028492624
6,32,29224613,449418,10571.00771793362,602481,0,56993.71489227998
6,33,29907257,451227,10817.75812584808,682644,1809,63104.01767708988
6,34,30628042,455041,11078.278594593736,720785,3814,65062.90610454112
6,35,31334260,459761,11333.4878677922,706218,4720,62312.5032856786
6,36,31871004,465040,11527.479556317112,536744,5279,46562.129854818246
6,37,32365504,471220,11706.24955364174,494500,6180,42242.39349537566
6,38,32758084,476516,11848.269620987192,392580,5296,33133.95226123242
6,39,33123537,481585,11980.501758730636,365453,5069,30503.981165369878
6,40,33438359,486492,12094.303794839096,314822,4907,26030.60129301047
6,41,33712173,491109,12193.262322901954,273814,4617,22456.172330985595
6,42,33984321,496711,12291.534264147647,272148,5602,22141.092735168975
6,43,34268453,501667,12394.22653737156,284132,4956,22924.544677578226
6,44,34583065,505596,12507.86949069984,314612,3929,25153.12461758
6,45,34879769,509452,12615.170825927533,296704,3856,23519.61809270108
6,46,35132026,513597,12706.333936210069,252257,4145,19852.854589404957
6,47,35348908,517575,12784.754515800629,216882,3978,16964.111413477385
6,48,35606958,521361,12878.062712753106,258050,3786,20037.951806559682
6,49,35939574,524899,12998.382081123897,332616,3538,25589.030844309553
6,50,36257433,528011,13113.372899462383,317859,3112,24239.301546365044
6,51,36768719,531165,13298.201058297473,511286,3154,38447.75678744764
8,1,2624316,38789,6075.261753869004,61900,450,10188.861403474386
8,2,2720717,39801,6373.424902369448,96401,1012,15125.462600831932
8,3,2797467,40511,6592.267569033998,76750,710,11642.427919722106
8,4,2864854,41053,6779.553211478551,67387,542,9939.740554865206
8,5,2926041,41477,6942.126089574419,61187,424,8813.870449845288
8,6,2981818,41831,7097.829900767907,55777,354,7858.317370209948
8,7,3033731,42129,7232.0880336042,51913,298,7178.148241390878
8,8,3084118,42396,7358.244190094097,50387,267,6847.693376068246
8,9,3132278,42611,7501.308818959081,48160,215,6420.212947143125
8,10,3181416,42843,7629.583495902078,49138,232,6440.456418937219
8,11,3228374,43049,7747.677367295283,46958,206,6060.9131968014635
8,12,3282471,43211,7879.159593355209,54097,162,6865.833768061004
8,13,3346680,43467,8028.125814910971,64209,256,7998.00619476366
8,14,3423852,43817,8203.724865019982,77172,350,9406.94638956691
8,15,3502248,44197,8398.43525186281,78396,380,9334.595987105029
8,16,3583546,44704,8596.182019308206,81298,507,9457.454462619977
8,17,3663556,45225,8806.825962205197,80010,521,9084.998425467442
8,18,3732338,45676,8993.017614579707,68782,451,7648.378213836576
8,19,3785804,46135,9152.20929434118,53466,459,5841.868152322311
8,20,3826093,46521,9277.792408413434,40289,386,4342.520098150127
8,21,3856265,46857,9376.231669092464,30172,336,3217.923902142702
8,22,3878664,47202,9454.138150157554,22399,345,2369.227066945993
8,23,3896666,47453,9526.048771813816,18002,251,1889.7656763279738
8,24,3911410,47708,9590.008740013183,14744,255,1537.4334267791014
8,25,3926322,47925,9638.747113950008,14912,217,1547.0890379952073
8,26,3942746,48196,9687.964263586411,16424,271,1695.2993996614887
8,27,3961468,48380,9736.141998621126,18722,184,1922.9382647306797
8,28,3984558,48642,9797.447614496356,23090,262,2356.7362550462544
8,29,4014251,48926,9861.258740509324,29693,284,3011.0760483368463
8,30,4052727,49228,9945.781256759916,38476,302,3868.5749270675706
8,31,4102334,49662,10056.777836564928,49607,434,4932.6932349680055
8,32,4159249,50156,10184.154498983307,56915,494,5588.583716564971
8,33,4230925,50740,10335.120167243049,71676,584,6935.187868175506
8,34,4315297,51329,10521.304377508235,84372,589,8019.157793815471
8,35,4405079,52085,10723.491603514582,89782,756,8372.459579356999
8,36,4496617,52892,10945.58647195198,91538,807,8363.00551227344
8,37,4591619,53721,11177.88943367334,95002,829,8499.099992330119
8,38,4681386,54676,11398.520687277804,89767,955,7875.320180818847
8,39,4776277,55705,11612.35481436998,94891,1029,8171.555340573551
8,40,4881808,56876,11853.69001610274,105531,1171,8902.79734467837
8,41,4986067,58046,12129.683120938842,104259,1170,8595.360567995638
8,42,5099908,59569,12404.748442813046,113841,1523,9177.211494841413
8,43,5236754,61300,12724.803796229888,136846,1731,10754.27190795231
8,44,5388805,63037,13072.36270499042,152051,1737,11631.485710073972
8,45,5561113,64957,13440.414702115188,172308,1920,12820.14013844997
8,46,5725147,66900,13819.466136814945,164034,1943,11869.778352943373
8,47,5856213,68585,14171.115724998384,131066,1685,9248.813046441686
8,48,5979451,70146,14446.741685774698,123238,1561,8530.504848809542
8,49,6080889,71626,14731.784395543944,101438,1480,6885.6560262097555
8,50,6166453,72761,14962.132563217248,85564,1135,5718.703509575209
8,51,6351096,73845,15236.039396740633,184643,1084,12118.83188222129
9,1,1395924,43624,5593.314487324984,69350,1176,12398.730691284052
9,2,1525363,45466,6111.962374978509,129439,1842,21177.977228705557
9,3,1631326,47084,6536.544503389809,105963,1618,16210.85880239143
9,4,1722496,48752,6901.852701980433,91170,1668,13209.496628903638
9,5,1794188,50068,7189.114689184108,71692,1316,9972.298829487212
9,6,1854388,51236,7430.329491807292,60200,1168,8101.928732282564
9,7,1897862,52295,7604.525045449156,43474,1059,5716.859335747278
9,8,1942361,53110,7782.82766176027,44499,815,5717.587737248637
9,9,1984482,53710,7951.6018926787265,42121,600,5297.1716351622235
9,10,2020074,54211,8094.215136116672,35592,501,4397.214479905191
9,11,2060828,54645,8257.511947845993,40754,434,4935.3849267673
9,12,2112875,54962,8466.058572964412,52047,317,6147.7250070307055
9,13,2174709,55230,8713.820634515938,61834,268,7096.083634665604
9,14,2230058,55520,8935.59801176495,55349,290,6194.2132946362835
9,15,2285268,55839,9156.81843124711,55210,319,6029.386780412626
9,16,2328861,56189,9331.490804847648,43593,350,4671.600809739181
9,17,2363913,56538,9471.94032746472,35052,349,3700.614529671778
9,18,2390029,56855,9576.584277386764,26116,317,2727.0683621161083
9,19,2408924,57122,9652.294471665256,18895,267,1957.565639492985
9,20,2421088,57401,9701.03428660061,12164,279,1253.8869197484767
9,21,2428727,57585,9731.642922435136,7639,184,784.9650938578111
9,22,2433453,57704,9750.57948650818,4726,119,484.6891414545503
9,23,2437414,57793,9766.45077941832,3961,89,405.5721048988805
9,24,2439821,57858,9776.095364632838,2407,65,246.2128191494376
9,25,2442297,57905,9786.016425285576,2476,47,253.01408585442317
9,26,2445373,57942,9798.341620183734,3076,37,313.9306751321782
9,27,2448082,57952,9809.196286301774,2709,10,276.16941499917084
9,28,2452525,57962,9826.998900389066,4443,10,452.1217560962681
9,29,2460490,57986,9858.913782496931,7965,24,807.8983319785898
9,30,2473796,58029,9912.229466279392,13306,43,1342.3821598628183
9,31,2496277,58058,10002.308369564636,22481,29,2247.5811752021114
9,32,2522595,58107,10107.761711349303,26318,49,2603.741634554893
9,33,2551579,58229,10223.897422964426,28984,122,2834.9267212812147
9,34,2582215,58413,10346.652517535254,30636,184,2960.9576573755476
9,35,2614373,58614,10475.506099308614,32158,201,3069.8278150133897
9,36,2640873,58862,10581.688695147725,26500,248,2504.326177366348
9,37,2673759,59114,10713.459293138852,32886,252,3069.5967661034524
9,38,2705713,59371,10841.495469268772,31954,257,2947.3793620609435
9,39,2729297,60278,10935.99397267517,23584,907,2156.5483721852183
9,40,2750269,60634,11020.0264783332,20972,356,1903.080726823449
9,41,2770093,60849,11099.459073801672,19824,215,1786.0329830659116
9,42,2793960,61077,11195.091527193825,23867,228,2131.916469108362
9,43,2811771,61261,11266.45825226893,17811,184,1580.8872319225145
9,44,2828630,61438,11334.01041767465,16859,177,1487.469958004405
9,45,2846642,61622,11406.182527721972,18012,184,1579.1435878062643
9,46,2877357,61829,11529.254166635112,30715,207,2664.0925385171186
9,47,2913720,62016,11674.956722578414,36363,187,3114.6153997879
9,48,2958697,62302,11855.174632505044,44977,286,3793.8707268537455
9,49,3037159,62631,12169.563267777805,78462,329,6447.396531291248
9,50,3154347,62952,12639.122741030384,117188,321,9271.846029279595
9,51,3279928,63429,13142.3120454859,125581,477,9555.47239826301
10,1,433573,7716,6360.781462448807,21185,300,3330.5656113272735
10,2,470883,8154,6908.142013876052,37310,438,5400.87333541453
10,3,503961,8604,7393.4165333107985,33078,450,4473.980310857388
10,4,532069,8989,7805.778108746795,28108,385,3600.9222409875415
10,5,552847,9222,8110.604094743989,20778,233,2561.831370053559
10,6,571006,9421,8377.007746670211,18159,199,2167.719136611524
10,7,585756,9552,8593.39928067053,14750,131,1716.4336856984817
10,8,598972,9758,8787.286095134814,13216,206,1503.9910908690224
10,9,612153,10071,8980.659438162487,13181,313,1467.7095920137615
10,10,624234,10416,9157.895107468104,12081,345,1319.1896017839465
10,11,637871,10613,9357.958249784197,13637,197,1457.262325391811
10,12,650208,10746,9538.949595883309,12337,133,1293.32898512476
10,13,664694,10903,9751.468088190331,14486,157,1485.5199103346806
10,14,680192,10984,9978.83324032165,15498,81,1553.0873827389914
10,15,697159,11130,10227.749522178152,16967,146,1658.918216877355
10,16,714192,11238,10477.634064457978,17033,108,1625.6532624840377
10,17,727192,11347,10668.352026627748,13000,109,1218.5574648786016
10,18,737876,11400,10825.092850306351,10684,53,986.9661302441061
10,19,745364,11515,10934.94639651614,7488,115,684.7770193355193
10,20,753676,11570,11056.888527404995,8312,55,751.7485574172457
10,21,759773,11618,11146.33525166262,6097,48,546.9959284681082
10,22,762524,11668,11186.694106580238,2751,50,245.91715602394154
10,23,764582,11745,11216.886227052964,2058,77,183.47337740098507
10,24,766075,11756,11238.789451477536,1493,11,132.8434887445746
10,25,767201,11830,11255.308561123931,1126,74,100.04168201032066
10,26,768274,11860,11271.050128309176,1073,30,95.19964757365211
10,27,769502,11865,11289.065640427983,1228,5,108.77782441111263
10,28,771301,11871,11315.458072269785,1799,6,158.98605151555617
10,29,773709,11881,11350.784907108617,2408,10,212.14391953563936
10,30,777429,12155,11405.35958551412,3720,274,326.1624477605029
